DateTime,Anomaly,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
2017-02-03 00:03:08,1,225.68553,2,2,1,2,19.49565816,12.92934646,0.828484036,0.848497002,0.848497002,1.04621952,4.312432744,6.756296123,-2.443863379,4.236398664,1244.8,10.61831207,9.248097785,-30.28252157,0.360402966,0.245400882,1.361871635,0,1.04625034,1.124332641,1.149707228,1.421188879,1.90174102,5.493079258,33.16244062,1.648148063,2.074000606,2.144426516,0.137487137,1.672654403,0.883404781,4.240020879,0.188362656,17.82366677,52.29694075
2017-02-03 00:28:13,1,186.4877193,4,4,1,1,7.337244104,14.73873353,0.832232638,0.852200142,0.852200142,1.001159222,3.989016833,5.78173578,-1.792718948,4.336884129,1265.803474,10.61831207,9.431228435,-30.28635199,0.372018043,0.291696741,0.109104862,1.739882374,1.143275593,1.142152145,1.160258817,2.500697602,1.096313442,4.590415277,32.59916945,1.088089547,1.671729474,1.11641427,0.256297393,2.196286759,0.912688918,4.274960132,0.459596856,20.17073966,36.90841495
2017-02-03 00:45:31,1,289.8483839,2,2,1,2,16.34096269,12.5588236,0.83243491,0.852833616,0.852833616,1.00225426,3.109196591,4.7323483,-1.623151709,3.405516853,1265.908268,12.99827857,11.72036155,-30.28711984,0.40790343,0.339206349,-0.742006841,5.008383645,1.133861022,1.140645788,1.181325476,2.400495893,1.493479731,5.757326858,33.06563131,1.457762846,2.205432295,0.959792866,0.267051022,1.318651874,0.880964437,3.461797444,0.260498483,12.03800356,23.22118849
2017-02-03 01:02:29,1,108.4383005,1,1,1,1,3.488471581,10.39406521,0.831050279,0.851794506,0.851794506,0.987512564,2.343219389,3.496511311,-1.153291922,3.539329667,1251.66144,13.36442727,10.16375103,-30.31248127,0.469099284,0.316145116,-1.606047435,1.133787186,1.147900522,1.127703069,1.157530775,2.680297898,0.911165647,5.513911309,33.41933467,2.041576166,2.063076864,1.535458911,0.352906609,2.257513066,0.905367884,3.583609271,0.216675322,12.12614862,27.70343247
2017-02-03 01:29:53,1,129.9797862,2,2,1,1,2.635293584,3.399970271,0.819892253,0.843558403,0.84947138,0.650573428,2.115846637,3.680974768,-1.565128131,2.508269614,1241.5,6.316064941,13.91792934,0,0,0,0,0,1.140197041,1.174381054,1.094800326,2.049789912,1.744157363,5.514526016,33.56157357,1.79726581,1.614163088,1.327497601,0,1.958319355,0.785790993,2.321531587,0.19406522,12.0928685,24.9863375
2017-02-03 02:08:11,1,228.5705504,2,2,2,1,9.521326404,15.18703805,0.828818823,0.849776734,0.850959329,0.79965153,7.459797182,8.292962538,-3.242615411,5.547716057,1266.117857,13.18135292,13.27697207,-30.25907452,0.601199115,0.328802785,2.663956222,5.38916311,1.130729957,1.102422799,1.138934029,1.365367166,3.33594299,4.440998211,32.60684619,1.97898139,1.374881121,2.505713762,0.340765415,2.691300585,1.561820608,5.282288278,0.173621642,20.00096457,42.08091034
2017-02-03 02:29:43,1,189.6035414,3,3,1,1,14.58494674,17.52633344,0.828885781,0.85003268,0.851451795,0.726948341,5.069914689,8.901938613,-3.832023924,4.388928637,1262.45037,13.82211313,14.55888661,-27.93756761,0.659447859,0.340593491,1.244085507,11.91638681,1.153539888,1.152852895,1.191614315,2.524447835,1.178312418,2.357533703,31.33444636,0.766792819,1.82206097,1.824419329,0.383086148,2.001333871,1.186007524,5.160250834,0.155006486,14.97730382,27.11329562
2017-02-03 02:44:40,1,115.8239527,1,1,1,1,3.884709865,9.127736245,0.865640421,0.89217275,0.851302125,0.732366965,3.575959658,5.248460898,-1.672501241,3.773896433,1262.24082,8.970642959,12.91071077,-28.00111145,0.541736855,0.350303483,1.166029643,4.244690213,1.170608156,1.144973937,1.160290625,2.860764989,2.468106043,6.381062771,33.77432213,2.617933598,1.557290273,0.85884751,0.362619564,2.376323322,0.902927539,3.262588843,0.251434186,10.97411247,25.27859309
2017-02-03 02:58:43,1,104.5146727,1,1,1,1,3.067205311,11.30623277,0.865726381,0.893519254,0.850995827,0.740570906,2.684024507,4.080382205,-1.396357697,2.855241398,1262.397982,12.08290684,12.45288415,-28.06630513,0.539309824,0.415325757,1.026542228,5.703941545,1.137780977,1.164247961,1.180061748,2.104051391,2.821759134,5.752114443,33.90143617,3.425943717,1.764321191,1.122484867,0.320645722,2.797449311,0.866322369,2.20578038,0.212855692,13.52609567,24.67138258
2017-02-03 03:12:41,1,150.1364622,1,1,1,1,3.052093011,4.569329317,0.826047603,0.850947254,0.850836091,0.644204681,2.093034652,3.290490654,-1.373243213,2.690049445,1251.033143,8.421419921,10.53001233,-30.33837667,0.35121492,0.297418701,-5.073017767,1.542494171,1.154699863,1.126532465,1.127803863,3.118723714,2.004716479,6.00843691,33.82448124,1.230098192,2.52846295,1.947218835,0.191602173,1.682887696,0.859001334,2.393252611,0.158597561,13.87717298,20.56784441
